prefix_length,threshold,n_eval,accuracy,precision,recall,f1,tp,tn,fp,fn
60,0.7215188145637512,20000,0.97645,0.9498349834983498,0.9467105263157894,0.9482701812191103,4317,15212,228,243
61,0.8291864991188049,20000,0.97735,0.9548172757475083,0.9453947368421053,0.9500826446280992,4311,15236,204,249
62,1.3895726203918457,20000,0.9776,0.9711274060494959,0.9293859649122806,0.9497982967279247,4238,15314,126,322
63,1.6296145915985107,20000,0.97695,0.9765170890490583,0.9210526315789473,0.9479742692698341,4200,15339,101,360
64,1.2041385173797607,20000,0.97805,0.9645997745208568,0.9381578947368421,0.9511951083935519,4278,15283,157,282
65,1.4358270168304443,20000,0.9784,0.9720951509606587,0.9320175438596491,0.9516345723242275,4250,15318,122,310
66,1.3955485820770264,20000,0.97815,0.9720632012823449,0.930921052631579,0.9510473843396439,4245,15318,122,315
67,1.3077833652496338,20000,0.9783,0.9690768531150523,0.9346491228070175,0.951551685644117,4262,15304,136,298
68,1.3011250495910645,20000,0.97865,0.9659526493799323,0.9394736842105263,0.9525291828793774,4284,15289,151,276
69,1.4651105403900146,20000,0.97945,0.9748226138704509,0.9339912280701754,0.9539702094299473,4259,15330,110,301
70,1.6362245082855225,20000,0.97905,0.9780651119833756,0.9289473684210526,0.9528736924980318,4236,15345,95,324
71,1.7147624492645264,20000,0.979,0.9800556586270872,0.9267543859649123,0.9526600541027954,4226,15354,86,334
72,1.3986656665802002,20000,0.98035,0.9755763524309519,0.9372807017543859,0.9560451851023375,4274,15333,107,286
73,1.3389081954956055,20000,0.9805,0.9730036297640653,0.9405701754385964,0.9565120428189117,4289,15321,119,271
74,1.6476595401763916,20000,0.9799,0.9785911602209945,0.9322368421052631,0.9548517520215634,4251,15347,93,309
75,1.4199957847595215,20000,0.98055,0.9734392735527809,0.9403508771929825,0.9566090351366425,4288,15323,117,272
76,2.1185038089752197,20000,0.9805,0.9821924144310823,0.931359649122807,0.9561008554705087,4247,15363,77,313
77,2.348519802093506,20000,0.9805,0.9833101529902643,0.9302631578947368,0.95605138607167,4242,15368,72,318
78,1.3224942684173584,20000,0.98335,0.9789259007477906,0.9473684210526315,0.9628886659979939,4320,15347,93,240
79,0.9237516522407532,20000,0.9845,0.9715934309809143,0.9600877192982457,0.9658063092874476,4378,15312,128,182
80,1.138829231262207,20000,0.98375,0.9742441209406495,0.9539473684210527,0.96398891966759,4350,15325,115,210
81,1.397446870803833,20000,0.9841,0.976629213483146,0.9530701754385965,0.9647058823529411,4346,15336,104,214
82,0.7852430939674377,20000,0.986,0.9728236853733981,0.9655701754385965,0.9691833590138675,4403,15317,123,157
83,0.7074530720710754,20000,0.9853,0.9692036955565332,0.9662280701754385,0.9677135954315835,4406,15300,140,154
84,1.4249672889709473,20000,0.98595,0.9828481155495373,0.9550438596491229,0.9687465243020799,4355,15364,76,205
85,1.1684048175811768,20000,0.9867,0.9775355871886121,0.9638157894736842,0.9706272084805654,4395,15339,101,165
86,1.3628969192504883,20000,0.987,0.9803395889186773,0.962280701754386,0.9712262062859672,4388,15352,88,172
87,1.5250482559204102,20000,0.98645,0.9802911534154535,0.9598684210526316,0.969972299168975,4377,15352,88,183
88,1.266852617263794,20000,0.9868,0.9771212794313638,0.9646929824561403,0.970867358199073,4399,15337,103,161
89,1.2709360122680664,20000,0.98695,0.9769247836698469,0.9655701754385965,0.9712142935921474,4403,15336,104,157
90,1.2681334018707275,20000,0.98755,0.980387786940049,0.9646929824561403,0.9724770642201834,4399,15352,88,161
91,1.2865169048309326,20000,0.98785,0.9814856123131831,0.9649122807017544,0.9731283865973681,4400,15357,83,160
92,1.7541136741638184,20000,0.98785,0.9821308912218003,0.9642543859649123,0.9731105455350227,4397,15360,80,163
93,1.5076045989990234,20000,0.98785,0.9808420583648919,0.9655701754385965,0.9731462040004419,4403,15354,86,157
94,1.8018178939819336,20000,0.9879,0.9856050382366172,0.9609649122807018,0.9731290250943816,4382,15376,64,178
95,1.0974841117858887,20000,0.99075,0.981722087645893,0.9776315789473684,0.9796725634545654,4458,15357,83,102
96,1.2331173419952393,20000,0.99045,0.9831895598318956,0.9747807017543859,0.9789670741107808,4445,15364,76,115
97,0.954280436038971,20000,0.9904,0.9816938685487429,0.9760964912280702,0.9788871783593579,4451,15357,83,109
98,0.9526806473731995,20000,0.9904,0.982545293857711,0.975219298245614,0.9788685890380806,4447,15361,79,113
99,1.2977383136749268,20000,0.9905,0.9829796640141468,0.975219298245614,0.9790841039189784,4447,15363,77,113
100,0.9660573601722717,20000,0.9912,0.986462494451842,0.9747807017543859,0.9805868078535187,4445,15379,61,115
101,1.1854498386383057,20000,0.99165,0.9903996427774057,0.9728070175438597,0.981524504923111,4436,15397,43,124
102,0.9792162775993347,20000,0.9915,0.9888641425389755,0.9736842105263158,0.9812154696132597,4440,15390,50,120
103,0.7588089108467102,20000,0.99185,0.9877967605946306,0.9763157894736842,0.9820227197529503,4452,15385,55,108
104,0.7083914875984192,20000,0.9919,0.9858594785682722,0.9785087719298246,0.9821703720008804,4462,15376,64,98
105,1.1666209697723389,20000,0.99185,0.9899710274125251,0.9741228070175438,0.9819829777826904,4442,15395,45,118
106,1.1776173114776611,20000,0.9916,0.9901785714285715,0.9728070175438597,0.9814159292035398,4436,15396,44,124
107,1.6533730030059814,20000,0.99135,0.9917058955391168,0.9701754385964912,0.9808225252189335,4424,15403,37,136
108,1.5644960403442383,20000,0.99115,0.9910374187766077,0.9699561403508772,0.9803834644796631,4423,15400,40,137
109,1.7589085102081299,20000,0.9915,0.9914912673533364,0.9710526315789474,0.9811655218258364,4428,15402,38,132
110,1.437159538269043,20000,0.9917,0.9886565836298933,0.9747807017543859,0.9816696113074205,4445,15389,51,115
111,1.6789302825927734,20000,0.9916,0.9897413024085637,0.9732456140350877,0.981424148606811,4438,15394,46,122
